"$id","time","hook_load","oil_temp_gearbox","oil_temp_swivel","pressure_gearbox","rpm","temp_ambient","torque","wob","mru_pos","mru_vel","ram_pos_measured","ram_pos_setpoint","ram_vel_measured","ram_vel_setpoint","friction_coeff"
771,"2013-01-09T20:49:10",94.5375,29.46854715250783,35.3136303630097,2.9896852519858927,31.825909317976826,17.31,9.856259397982429,0.5447431914893617,141.54311463046758,-0.9325066256157636,32483.95470383275,32483.95905292479,0.4239260918114142,0,0.009517836040445513
772,"2013-01-09T20:49:11",95.3341,29.46465635564613,35.31263312612645,2.9910936701934805,31.825458336224244,17.31,9.837473195574358,-0.4917599193548387,129.46013513513515,-28.327886538461538,32483.522435897437,32483.562179487177,-5.701049094292804,0,0.009534444768640694
773,"2013-01-09T20:49:12",95.9879,29.460765558784434,35.31163588924319,2.9932562591751597,31.82500735447166,17.31,9.818686993166287,-1.1604689743589744,87.25728071428571,-50.14461941747573,32476.877419354838,32478.051612903226,-13.22628064516129,0,0.009551486266840213
774,"2013-01-09T20:49:13",95.6224,29.456874761922734,35.310638652359934,2.995674276812589,31.824556372719073,17.31,9.799900790758217,-0.8911639130434783,32.91699038461538,-50.90081198884758,32436.380434782608,32438.95434782609,-40.70887400696864,0,0.009568234597999355
775,"2013-01-09T20:49:14",96.7603,29.452983965061033,35.30964141547668,2.9980922944500183,31.83650304441261,17.31,9.781114588350146,-1.7514908510638298,-13.721996923076922,-29.92835294117647,32398.72765957447,32400.065957446808,-30.511034285714285,0,0.00958149865846031
776,"2013-01-09T20:49:15",96.4228,29.449093168199337,35.308644178593426,3.0005103120874477,31.85022080945559,17.31,9.762328385942075,-1.32577,-18.38685564924115,11.600196162790697,32389.64024390244,32389.601923076923,-6.918364645293314,0,0.009594141551789196
777,"2013-01-09T20:49:16",95.118,29.445202371337636,35.30764694171017,3.002928329724877,31.862573038451547,17.31,9.816225196483972,0.05242510000000001,5.618505180722892,52.155093577981646,32391.129787234044,32390.829787234044,3.3655848772169166,0,0.0095379393193916
778,"2013-01-09T20:49:17",94.78055,29.44131157447594,35.30664970482691,3.0053463473623063,31.859838561964146,17.31,9.874521702127659,0.4702259574468085,67.70417339449541,73.14143731443995,32420.22765957447,32417.687234042554,33.37551340285824,0,0.009481155003519247
779,"2013-01-09T20:49:18",94.2887,29.437420777614236,35.30565246794366,3.007764364999736,31.857104085476745,17.31,9.866650037658335,0.7131779569892472,141.8551337209302,69.12571531713901,32461.378260869566,32459.95806451613,28.19158138277327,0,0.009486150491957692
780,"2013-01-09T20:49:19",94.2135,29.43352998075254,35.3046552310604,3.0101823826371654,31.854369608989348,17.31,9.856952160219102,0.8291223404255319,204.74139901477832,53.116644,32490.7914893617,32489.73404255319,23.007649362688298,0,0.009494663218033803
781,"2013-01-09T20:49:20",94.2212,29.42963918389084,35.303657994177144,3.0126004002745947,31.851635132501947,17.31,9.84725428277987,0.7219341935483871,242.31180049261084,23.849458064516128,32506.1935483871,32506.080645161288,7.6203925654450275,0,0.009503251303897772
782,"2013-01-09T20:49:21",94.72945,29.42574838702914,35.30266075729389,3.015018417912024,31.84890065601455,17.31,9.837556405340637,-0.0795368085106383,245.02323205574913,-2.3408360591133004,32506.4,32506.4,-1.7369571794871796,0,0.009511917897936775
783,"2013-01-09T20:49:22",95.54335,29.42185759016744,35.30166352041063,3.0174364355494534,31.84616617952715,17.31,9.827858527901403,-0.820744255319149,230.6332757660167,-30.214557692307693,32502.47234042553,32502.940425531913,-9.145215726495726,0,0.009520545161142544
784,"2013-01-09T20:49:23",95.5057,29.41796679330574,35.30066628352738,3.0198544531868827,31.843431703039748,17.31,9.81816065046217,-1.1424110483870966,186.1123870967742,-58.51462798165138,32473.66612903226,32475.766129032258,-33.04736330097087,0,0.009529188285985013
785,"2013-01-09T20:49:24",95.9917,29.41407599644404,35.29966904664412,3.022272470824312,31.84069722655235,17.31,9.808462773022937,-1.2590032258064516,108.95172340425532,-88.54004679245284,32433.354838709678,32435.112903225807,-40.35914011516315,0,0.009537861662702625
786,"2013-01-09T20:49:25",96.44205,29.410185199582344,35.29867180976086,3.024690488461742,31.837962750064953,17.31,9.798764895583703,-1.709102258064516,10.130905504587156,-99.40735512820513,32390.94516129032,32393.251612903226,-34.6762226487524,0,0.009546524420453036
787,"2013-01-09T20:49:26",96.768,29.406294402720643,35.29767457287761,3.027108506099171,31.835228273577552,17.31,9.789067018144472,-1.690679,-91.80894587155963,-90.88108916256158,32355.991489361702,32357.23829787234,-28.99330518234165,0,0.009555189122872919
788,"2013-01-09T20:49:27",96.3795,29.402403605858947,35.29667733599435,3.0295265237366005,31.83249379709015,17.31,9.779369140705239,-1.561283085106383,-163.16772,-47.02658440366973,32343.22455516014,32343.6,-8.02371109185442,0,0.009563936168426936
789,"2013-01-09T20:49:28",96.9119,29.398512808997246,35.295680099111095,3.03194454137403,31.829759320602754,17.31,9.769671263266005,-0.29218418439716315,-168.6188709422011,13.782921505376345,32344.61276595745,32344.578723404255,8.595344444444445,0,0.0095726691031335
790,"2013-01-09T20:49:29",94.79975,29.394622012135546,35.294682862227845,3.034362559011459,31.827024844115353,17.31,9.72732261061947,-0.8132022580645161,-141.01948387096775,64.50131612903226,32364.345161290323,32363.18064516129,24.822584975878705,0,0.009610188629077317
791,"2013-01-09T20:49:30",95.27425,29.390731215273846,35.29368562534459,3.0367805766488885,31.824290367627952,17.31,9.605788866150442,0.04282446808510638,-59.52563333333333,91.10161137026239,32390.597872340426,32388.87021276596,35.03747126119917,0,0.009731604487649068
792,"2013-01-09T20:49:31",95.0158,29.38684041841215,35.29268838846133,3.036006043700089,31.821555891140555,17.31,9.552211049412916,0.08797904255319149,29.220712765957447,86.94886689189188,32431.059574468087,32428.60425531915,45.084981672473866,0,0.009789993476865103
793,"2013-01-09T20:49:32",94.443,29.38294962155045,35.29169115157807,3.034482640860692,31.827941854470954,17.31,9.608250677592954,0.7287156756756756,107.65769999999999,64.70725495049504,32479.88085106383,32477.94680851064,47.57905722402598,0,0.009729572724504105
794,"2013-01-09T20:49:33",93.8972,29.379058824688748,35.29069391469481,3.0329592380212955,31.838483127354436,17.31,9.65462210900474,1.0071929787234044,152.85413846153847,32.95570384615385,32520.52978723404,32518.85744680851,34.95132105263158,0,0.009677064770400007
795,"2013-01-09T20:49:34",93.66955,29.37516802782705,35.28969667781156,3.031435835181899,31.849024400237923,17.31,9.683880028685456,1.0462521276595744,156.20971006509765,2.701866108374384,32537.88510638298,32537.74255319149,7.571860730088495,0,0.009643027471548531
796,"2013-01-09T20:49:35",94.51335,29.37127723096535,35.288699440928305,3.029912432342502,31.859565673121406,17.31,9.713137948366176,0.3843472115384616,152.35092188282422,-20.335736170212765,32538.230481283423,32538.254587155963,1.4864090403682717,0,0.009609266940005648
797,"2013-01-09T20:49:36",94.9368,29.36738643410365,35.28770220404505,3.028389029503106,31.870106946004892,17.31,9.742395868046895,-0.23356743119266055,130.8986129032258,-24.752907324516784,32537.963782051283,32537.971314102564,-3.854989684844192,0,0.009575688634149586
798,"2013-01-09T20:49:37",95.66,29.36349563724195,35.286704967161796,3.026865626663709,31.88064821888837,17.31,9.83244205882353,-0.3092190825688073,106.22477777777777,-12.286557084548104,32532.855555555554,32533.399999999998,-11.380009031413612,0,0.00948834358517044
799,"2013-01-09T20:49:38",95.0197,29.359604840380253,35.28570773027854,3.0253422238243126,31.891189491771858,17.31,9.903384873803306,-0.25718314285714283,110.00895388669302,6.052008664921465,32509.595652173914,32510.934782608696,-25.295685298013243,0,0.00941064392291012
800,"2013-01-09T20:49:39",94.9445,29.355714043518553,35.28471049339528,3.023818820984916,31.901730764655344,17.31,9.936294650420656,-0.21909797188755023,114.29793061045235,4.643880392670156,32476.456521739132,32478.378260869566,-29.49772503311258,0,0.00937482245064664
801,"2013-01-09T20:49:40",94.8143,29.351823246656856,35.28371325651202,3.0222954181455193,31.912272037538827,17.31,9.969204427038004,0.0683675,111.43432038834952,-10.488652857142856,32439.72608695652,32440.95434782609,-33.69976476821192,0,0.009339222378674928
802,"2013-01-09T20:49:41",94.93100000000001,29.347932449795156,35.282716019628765,3.0207720153061226,31.922813310422313,17.31,10.034271946795647,0.149505,82.00764266055046,-54.26137155963303,32402.8,32404.75,-37.901804503311254,0,0.009276423852052292
803,"2013-01-09T20:49:42",95.46424999999999,29.344041652933456,35.281718782745514,3.019248612466726,31.933354583305796,17.31,10.104432167133146,-0.6063193617021276,4.316091743119266,-99.76519574468085,32363.717021276596,32365.474468085107,-37.31226955892986,0,0.00920405441250488
804,"2013-01-09T20:49:43",95.8259,29.34015085607176,35.280721545862264,3.0177252096273293,31.94389585618928,17.31,10.08937818872451,-0.7976067021276596,-116.7014255319149,-128.33695719844357,32322.310638297873,32324.510638297874,-33.65926883586406,0,0.009213234945502918
